15059751;Rufus;Scrimgeour;456789022;rufus.scrimgeour.devia@coldmail.com;rufus.scrimgeour.devia@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;LICENCIATURA;TITULAR REGULAR;;
20082984;Vernon;Dursley;789012356;vernon.dursley.renard@yeeha.com;vernon.dursley.renard@lamejor.com;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;ASISTENTE DOCENTE;;
22035082;JK;Rowling;456789021;hkrowling@editorial.edito;hkrowling@lamejor.com;;FULL TIME;diurno;vespertino;HOGWARTS;MAGIA;;ASOCIADO DOCENTE;Profesor por Jornada;
19457329;Fleur;Delacour;678901238;fleur.delacour.diaz@gmall.com;fleur.delacour.diaz@lamejor.com;;FULL TIME;diurno;vespertino;BEAUXBATON;;LICENCIATURA;INSTRUCTORA DOCENTE;Secretaria Estudios;
15089005;Bellatrix;Lestrange;234567892;bellatrix.lestrange.beltran@gmall.com;bellatrix.lestrange.beltran@lamejor.com;;HONORARIO;diurno;;;;MAGISTER;TITULAR REGULAR;;
19064170;Gilderoy;Lockhart;901234571;gilderoy.lockhart@yeeha.com;gilderoy.lockhart@lamejor.com;;HONORARIO;diurno;;BEAUXBATON;HECHICERï¿½A;DOCTOR ;ASISTENTE DOCENTE;;
13689982;Remus;Lupin;789012354;remus.lupin@coldmail.com;remus.lupin@lamejor.com;;FULL TIME;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;ASOCIADO DOCENTE;Profesor por Jornada;
13827502;Remus;Lupin;678901243;remus.lupin.barrientos@yeeha.com;remus.lupin.barrientos@lamejor.com;;FULL TIME;diurno;;HOGWARTS;MAGIA;MAGISTER;TITULAR DOCENTE;Profesor 1/2 Jornada;
11057406;Filius;Flitwick;456789016;filius.flitwick@coldmail.com;filius.flitwick@lamejor.com;;HONORARIO;diurno;;BEAUXBATON;HECHICERï¿½A;MAGISTER;SIN JERARQUIZAR;;
12972527;Seamus;Finnigan;678901244;seamus.finnigan.contreras@coldmail.com;seamus.finnigan.contreras@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;MAGISTER;ASOCIADO DOCENTE;;
12791816;Xenophilius;Lovegood;456789024;xenophilius.lovegood.gonzalez@coldmail.com;xenophilius.lovegood.gonzalez@lamejor.com;;HONORARIO;;vespertino;HOGWARTS;MAGIA;MAGISTER;ASISTENTE DOCENTE;;
14064936;Angelina;Johnson;456789013;angelina.johnson.reyes@yeeha.com;angelina.johnson.reyes@lamejor.com;;HONORARIO;diurno;;BEAUXBATON;MAGIA;LICENCIATURA;SIN JERARQUIZAR;;
21904102;Petunia;Dursley;890123464;petunia.dursley.jeraldo@gmall.com;petunia.dursley.jeraldo@lamejor.com;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;ASISTENTE DOCENTE;;
20354821;Quirinus;Quirrell;567890132;quirinus.quirrell@yeeha.com;quirinus.quirrell@lamejor.com;;FULL TIME;diurno;vespertino;HOGWARTS;MAGIA;;TITULAR DOCENTE;Profesor por Jornada;
14183901;Terry;Boot;567890134;terry.boot.diaz@coldmail.com;terry.boot.diaz@lamejor.com;;FULL TIME;;vespertino;HOGWARTS;MAGIA;MAGISTER;ASOCIADO DOCENTE;Director Inst. Investigaciï¿½n y Postgra;
13475408;Poppy;Pomfrey;234567899;poppy.pomfrey@gmall.com;poppy.pomfrey@lamejor.com;;FULL TIME;;vespertino;HOGWARTS;MAGIA;LICENCIATURA;TITULAR DOCENTE;Profesor por Jornada;
20638852;Sirius;Black;234567901;sirius.black.esquivel@coldmail.com;sirius.black.esquivel@lamejor.com;;FULL TIME;diurno;;HOGWARTS;MAGIA;MAGISTER;ASOCIADA REGULAR;Director (a) Centro de Sol. Colab.de C;
12758128;Argus;Filch;678901235;argus.filch@gmall.com;argus.filch@lamejor.com;;HONORARIO;diurno;;BEAUXBATON;;DOCTOR ;ASISTENTE DOCENTE;;
24009027;Neville;Longbottom;234567898;neville.longbottom.valenzuela@gmall.com;neville.longbottom.valenzuela@lamejor.com;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;INSTRUCTOR DOCENTE;;
16901248;Hermione;Granger;890123461;hermione.granger.benavides@coldmail.com;hermione.granger.benavides@lamejor.com;;HONORARIO;diurno;;BEAUXBATON; HECHICERï¿½A;DOCTOR;ASOCIADA DOCENTE;;
15155275;Pansy;Parkinson;567890131;pansy.parkinson.larroucau@coldmail.com;pansy.parkinson.larroucau@lamejor.com;;FULL TIME;;vespertino;HOGWARTS;MAGIA;MAGISTER;INSTRUCTOR DOCENTE;;
24496460;Parvati;Patil;678901242;parvati.patil.pardo@yeeha.com;parvati.patil.pardo@lamejor.com;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;LICENCIATURA;ASOCIADO DOCENTE;;
19465195;Theodore;Nott;678901245;theodore.nott.plaza@gmall.com;theodore.nott.plaza@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;LICENCIATURA;INSTRUCTOR DOCENTE;;
13567862;Dean;Thomas;456789015;dean.thomas.basaez@yeeha.com;dean.thomas.basaez@lamejor.com;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
20537459;Alastor;Moody;678901234;alastor.moody.munita@coldmail.com;alastor.moody.munita@lamejor.com;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;Profesor por Jornada;
23116742;Dolores;Umbridge;789012348;dolores.umbridge.baquerizo@coldmail.com;dolores.umbridge.baquerizo@lamejor.com;;HONORARIO;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;;
20364718;Rolanda;Hooch;890123465;rolanda.hooch@coldmail.com;rolanda.hooch@lamejor.com;;FULL TIME;;;HOGWARTS;MAGIA;;ASOCIADO DOCENTE;Director(a) Carrera (i);
17754798;Draco;Malfoy;901234570;draco.malfoy.yanez@gmall.com;draco.malfoy.yanez@lamejor.com;;HONORARIO;diurno;;;;MAGISTER;ASOCIADA DOCENTE;;
10693674;Percy;Weasley;789012353;percy.weasley.silva@coldmail.com;percy.weasley.silva@lamejor.com;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;LICENCIATURA;TITULAR DOCENTE;;
12949268;Molly;Weasley;890123463;molly.weasley.robles@gmall.com;molly.weasley.robles@lamejor.com;;FULL TIME;diurno;vespertino;HOGWARTS;MAGIA;BACHILLER;ASOCIADO REGULAR;Secretario(a) Estudios;
19609585;Anthony;Goldstein;567890124;anthony.goldstein.contreras@gmall.com;anthony.goldstein.contreras@lamejor.com;;HONORARIO;diurno;;;;MAGISTER ;ASOCIADA DOCENTE;;
23184735;Severus;Snape;890123466;severus.snape@yeeha.com;severus.snape@lamejor.com;;FULL TIME;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;ASISTENTE DOCENTE;Director (a) Formaciï¿½n Cont. y Postgra;
19406721;Sybill;Trelawney;456789023;sybill.trelawney@gmall.com;sybill.trelawney@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;MAGISTER;ASISTENTE DOCENTE;;
24719317;Lucius;Malfoy;345678908;lucius.malfoy.aguilera@yeeha.com;lucius.malfoy.aguilera@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;MAGISTER;ASISTENTE DOCENTE;;
23156352;Oliver;Wood;345678909;oliver.wood.fuentes@gmall.com;oliver.wood.fuentes@lamejor.com;;FULL TIME;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;ASOCIADO DOCENTE;Profesor por Jornada;
22125739;Ron;Weasley;901234576;ron.weasley.irarrazabal@gmall.com;ron.weasley.irarrazabal@lamejor.com;;FULL TIME;diurno;;HOGWARTS;MAGIA;;INSTRUCTOR DOCENTE;Director Clï¿½nica ;academico
25090138;Lily;Potter;234567897;lily.potter.aspillaga@coldmail.com;lily.potter.aspillaga@lamejor.com;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;TITULAR DOCENTE;Profesor;
16563364;Zacharias;Smith;567890135;zacharias.smith@yeeha.com;zacharias.smith@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;MAGISTER;INSTRUCTOR DOCENTE;;
22630533;Alecto;Carrow;901234567;alecto.carrow@gmall.com;alecto.carrow@lamejor.com;;HONORARIO;diurno;;;;LICENCIATURA;ASISTENTE DOCENTE;;
20454143;Cedric;Diggory;456789014;cedric.diggory.diaz@yeeha.com;cedric.diggory.diaz@lamejor.com;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
