RUN;Nombre;APELLIDO P;telefono;email personal;email  institucional;DEDICACI�N;CONTRATO;DIURNO;VESPERTINO;SEDE;CARRERA;GRADO ACAD�MICO;JERARQU�A ;CARGO;ESTAMENTO
17241044;Voldemort;SE�OROSCURO;234567902;voldemort.senoroscuros.elinnombrable@gmall.com;voldemort.senoroscuros.elinnombrable@lamejor.com;-1;FULL TIME;diurno;;HOGWARTS;MAGIA;MAGISTER;ASOCIADO REGULAR;Profesor por Jornada;
;;;;;;20;;;;;;;;Administrativo;Administrativo
;;;;;;40;;;;;;;;T�cnico Contable;Administrativo
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;;
24017462;Steve;KLOVES;;;;;;;;;;;;;
12684784-K;;;;;;40;;;;;;;;Secretario (a) de Direcci�n;Administrativo
;;;;;;;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER ;INSTRUCTORA DOCENTE;;
;araya MARIN,  OLGA sonia;;;;;40;;;;;;;;Asistente;Administrativo
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;ASISTENTE DOCENTE;;
;;;;;;40;FULL TIME;;;;;0;TITULAR DOCENTE;Acad�mico Investigador;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;Acad�mico
;;;;;;40;FULL TIME;diurno;;;;DOCTOR;ASOCIADA REGULAR;Acad�mico Investigador;Acad�mico
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;PROFESOR TITULAR DOCENTE;;Acad�mico
;;;;;;;HONORARIO;;;;;;COMISI�N SUPERIOR ASOCIADO REGULAR;;Acad�mico
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;40;HONORARIO;diurno;vespertino;;;MAGISTER;PROFESOR TITULAR DOCENTE;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;
;;;;;;;planta;;;;;0;ASISTENTE REGULAR;Profesor por Jornada;
;;;;;;10;HONORARIO;;vespertino;;;LICENCIATURA;;;Acad�mico
;;;;;;;JORNADA;diurno;vespertino;;;DOCTOR;TITULAR DOCENTE;Acad�mico Investigador;
;;;;;;10;HONORARIO;;vespertino;;;LICENCIATURA;;;Acad�mico
;;;;;;10;HONORARIO;diurno;vespertino;;;MAGISTER;;;Acad�mico
;;;;;;20;FULL TIME;diurno;;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;TITULAR DOCENTE;Profesor;
;;;;;;;HONORARIO;;diurno;;;LICENCIATURA;LICENCIATURA;;Acad�mico
17043066;Minerva;MCGONAGALL;;minerva.mcgonagall@gmall.com;minerva.mcgonagall@lamejor.com;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;Acad�mico
22073090;Dennis;CREEVEY;;dennis.creevey.nash@gmall.com;dennis.creevey.nash@lamejor.com;;;;;;;MAGISTER;;;
7777777;EDUARDO SANTIAGO;BUSTOS;BAHAMONDE;eb@uc.cl;eb@lamejor.cl;80;;A VECES;TAMBIEN;HOGWARTS;;;BAJA;JUNIOR;administrativo
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;TITULAR DOCENTE;;Acad�mico
;;;;;;;HONORARIO;;;;;;ASOCIADO DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
15647936;;;;;;;HONORARIO;;;;;MAGISTER;INSTRUCTOR DOCENTE;Profesor por Jornada;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;TITULAR DOCENTE;;
6666666;Voldemort;SE�OROSCURO;567890123;voldemort.senoroscuros@elinnombrable.com;voldemort.senoroscuros.elinnombrable@lamejor.com;;GRATIS;diurno;;;; LICENCIATURA;;VACANTE;
;;;;;;;HONORARIO;;;;;MAGISTER;SIN JERARQUIZAR;;
;;;;;;10;HONORARIO;;;;;;;;Acad�mico
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;ASOCIADO DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASOCIADO DOCENTE;;
9808360;Firenze;;;firenze@yeeha.com;firenze@lamejor.com;;;;;;;;;;
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASOCIADO REGULAR;Acad�mico Investigador;
;;;;;;10;HONORARIO;;vespertino;;;MAGISTER;ASISTENTE DOCENTE;;Acad�mico
;;;;;;;JORNADA;;vespertino;;;DOCTOR;ASOCIADO DOCENTE;Director Inst. Investigaci�n y Postgra;
;;;;;;;JORNADA;;;;;0;ASISTENTE DOCENTE;Profesor por Jornada;
;;;;;;40;FULL TIME;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;Director Cl�nica;Acad�mico
;;;;;;40;FULL TIME;;;;;;;Encargado Servicios;Administrativo
19036378;Lee;JORDAN;;lee.jordan.marin@yeeha.com;lee.jordan.marin@lamejor.com;;;;;;;;;;
;;;;;;;HONORARIO;;vespertino;;;0;SIN JERARQUIZAR;;
12114054;Justin;FINCH-FLETCHLEY;;justin.finch-fletchley@latorre.com;justin.finch-fletchley@@lamejor;;;;;;;;;;
;;;;;;20;FULL TIME;;;;;MAGISTER;SIN JERARQUIZAR;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
21103479;Harry;POTTER;;harry.potter.badilla@yeeha.com;harry.potter.badilla@lamejor.com;;;;;;;DOCTOR;;;
21673365;Irman.;PINCE;;irma.pince@coldmail.com;irma.pince@lamejor.com;;;;;;;;;;
;;;;;;;HONORARIO;;vespertino;;;0;INSTRUCTOR DOCENTE;;
;;;;;;;JORNADA;diurno;vespertino;;;DOCTOR;ASISTENTE REGULAR;Profesor por Jornada;
;;;;;;10;HONORARIO;diurno;;;;Bachiller;ASISTENTE DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;10;HONORARIO;diurno;vespertino;;;MAGISTER;PROFESOR TITULAR DOCENTE;;Acad�mico
100;POR;DESIGNAR;;;;;;;;;;MAGISTER;ASISTENTE REGULAR;;
4010;POR;DESIGNAR;;;;;;;;;;;;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;10;HONORARIO;diurno;vespertino;;;MAGISTER;PROFESORA ASISTENTE DOCENTE;;Acad�mico
;;;;;;;JORNADA;diurno;vespertino;;;DOCTOR;ASISTENTE REGULAR;;
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;10;HONORARIO;diurno;vespertino;;;LICENCIATURA;PROFESOR TITULAR DOCENTE;;Acad�mico
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASOCIADO DOCENTE;;
;;;;;;40;HONORARIO;;vespertino;;;MAGISTER;;;Acad�mico
;;;;;;;JORNADA;diurno;;;;DOCTOR;ASOCIADA REGULAR;Acad�mico Investigador;
;;;;;;40;HONORARIO;diurno;vespertino;;;DOCTOR;PROFESOR ASOCIADO REGULAR;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;DOCTORA;ASOCIADA DOCENTE;;Acad�mico
;;;;;;40;HONORARIO;diurno;vespertino;;;DOCTOR;;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;40;FULL TIME;;;;;0;ASOCIADO DOCENTE;Director(a) Carrera (i);Acad�mico
;;;;;;;JORNADA;;;;;0;ASOCIADO DOCENTE;Profesor por Jornada;
;;;;;;;HONORARIO;;;;;;ASISTENTE REGULAR;;Acad�mico
17922276;;;;;;40;FULL TIME;;;;;;;Secretaria (o);Administrativo
;;;;;;10;HONORARIO;;vespertino;;;LICENCIATURA;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;;JORNADA;;;;;0;ASOCIADO DOCENTE;Coordinador Docente y Formaci�n Contin;
;;;;;;10;HONORARIO;;;;;;TITULAR DOCENTE;;Acad�mico
;;;;;;;HONORARIO;;;;;;PROFESOR ASOCIADO DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;SIN JERARQUIZAR;;Acad�mico
;;;;;;10;HONORARIO;diurno;vespertino;;;MAGISTER;INSTRUCTOR DOCENTE;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;Acad�mico
;;;;;;;JORNADA;diurno;vespertino;;;0;ASOCIADO DOCENTE;Director(a) Carrera;
;;;;;;;HONORARIO�;diurno;;;;MAGISTER;;;Acad�mico
111861590;;;;;;40;FULL TIME;;;;;;;Secretaria - Escuela;Administrativo
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;Acad�mico
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASISTENTE REGULAR;Acad�mico Investigador;
;;;;;;;;;;;;;INSTRUCTORA DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
15647218;Cuthbert;BINNS;;cuthbert.binns@yeeha.com;cuthbert.binns@lamejor.com;;;;;;;;;;
;;;;;;10;HONORARIO;;;;;;INSTRUCTORA DOCENTE;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;JORNADA;diurno;vespertino;;;MAGISTER;ASOCIADO DOCENTE;Profesor por Jornada;
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;;;Acad�mico
22336345;Blaise;ZABINI;;blaise.zabini.pardo@gmall.com;blaise.zabini.pardo@lamejor.com;;;;;;;;;;
;;;;;;;JORNADA;;vespertino;;;MAGISTER;ASOCIADO DOCENTE;Director(a) Carrera;
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;PROFESOR TITULAR DOCENTE;;Acad�mico
19164741;David ;HEYMAN;;;;;;;;;;;;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;;vespertino;;;0;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
14550636;Ginny;WEASLEY;;ginny.weasley.rojas@gmall.com;ginny.weasley.rojas@lamejor.com;;;;;;;;;;
11055885;James;POTTER;;james.potter.cortes@coldmail.com;james.potter.cortes@lamejor.com;;;;;;;;;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;;;;;;;INSTRUCTOR DOCENTE;;
;;;;;;;JORNADA;;;;;0;ASISTENTE REGULAR;Profesor por Jornada;
20666086;Marietta;EDGECOMBE;;marietta.edgecombe@dietz.com;marietta.edgecombe@lamejor;;;;;;;MAGISTER;;;
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;ASISTENTE DOCENTE;;Acad�mico
;;;;;;40;HONORARIO;;;;;;;;Acad�mico
;;;;;;10;HONORARIO;diurno;vespertino;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;40;FULL TIME;diurno;;;;DOCTOR;;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASISTENTE DOCENTE;Profesor por Jornada;
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASISTENTE DOCENTE;Profesor por Jornada;
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASOCIADA REGULAR;Director (a) Centro de Sol. Colab.de C;
;;;;;;;HONORARIO;;vespertino;;;LICENCIATURA;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;SIN CONOCIMIENTO;;
;;;;;;;;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;;
7505853;Charity;BURBAGE;;charity.burbage@coldmail.com;charity.burbage@lamejor.com;;;;;;;;;;
;;;;;;10;HONORARIO;;vespertino;;;0;ASISTENTE DOCENTE;;Acad�mico
;;;;;;40;HONORARIO;diurno;;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;Director(a) Escuela;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;ASOCIADA DOCENTE;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;JORNADA;;;;;;SIN JERARQUIZAR;;
;;;;;;10;HONORARIO;;vespertino;;;LICENCIATURA;;;Acad�mico
23116372;Cornelius;FUDGE;;cornelius.fudge.avila@yeeha.com;cornelius.fudge.avila@lamejor.com;;;;;;;;;;
;;;;;;;;;;;;;ASOCIADO REGULAR;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;;;Acad�mico
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;PROFESORA ASISTENTE REGULAR;Secretaria Ejecutiva del Centro ...;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;HONORARIO;;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;;;;;;SIN CONOCIMIENTO;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;
;;;;;;40;FULL TIME;;;;;MAGISTER;;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;
;;;;;;10;HONORARIO;;;;;;SIN JERARQUIZAR;;Acad�mico
;;;;;;40;FULL TIME;diurno;vespertino;;;DOCTOR;PROFESOR ASISTENTE REGULAR;;Acad�mico
12193904;Silvanusn.;KETTLEBURN;901234577;silvanus.kettleburn@gmall.com;silvanus.kettleburn@lamejor.com;;HONORARIO;;vespertino;HOGWARTS;MAGIA;MAGISTER;ASOCIADO DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;TITULAR DOCENTE;;
;;;;;;40;FULL TIME;diurno;vespertino;;;0;COMISI�N SUPERIOR ASOCIADO REGULAR;Director(a) Carrera;Acad�mico
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;PROFESOR TITULAR DOCENTE;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;Decano(a);Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR;;
15992956;Dolores;UMBRIDGE;;dolores.umbridge@coldmail.com;dolores.umbridge@lamejor.com;;;;;;;LICENCIATURA;;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
8761982;Helga ;HUFFLEPUFF;;helga.hufflepuff.bozo@coldmail.com;helga.hufflepuff.bozo@lamejor.com;;;;;;;DOCTOR;;;
;;;;;;10;HONORARIO;;vespertino;;;0;PROFESOR ASOCIADO DOCENTE;;Acad�mico
;;;;;;40;FULL TIME;diurno;vespertino;;;DOCTOR;PROFESOR ASOCIADO REGULAR;Director Depto.�;Acad�mico
;;;;;;;JORNADA;diurno;;;;MAGISTER;TITULAR DOCENTE;Profesor 1/2 Jornada;
122637826;;;;;;40;FULL TIME;;;;;;;Secretaria - Escuela;Administrativo
;;;;;;;HONORARIO;diurno;vespertino;;;LICENCIATURA;TITULAR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;COMISI�N SUPERIOR ASOCIADA DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;
;;;;;;10;;diurno;;;;MAGISTER;SIN JERARQUIZAR;;Acad�mico
;;;;;;40;FULL TIME;;;;;0;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;diurno;vespertino;;;MAGISTER;INSTRUCTOR DOCENTE;;Acad�mico
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;;vespertino;;;0;INSTRUCTOR DOCENTE;;Acad�mico
;;;;;;;HONORARIO;;;;;;ASOCIADA DOCENTE;;
;;;;;;;JORNADA;diurno;vespertino;;;MAGISTER;ASISTENTE DOCENTE;Coord. de Seguimiento y Apoyo al Egres;
;;;;;;;HONORARIO;diurno;vespertino;;;0;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;Acad�mico
;;;;;;10;HONORARIO;;vespertino;;;MAGISTER;COMISI�N SUPERIOR ASOCIADO DOCENTE;;Acad�mico
;;;;;;;HONORARIO;;;;;;INSTRUCTORA DOCENTE;;Acad�mico
;;;;;;20;FULL TIME;diurno;;;;MAGISTER;PROFESOR TITULAR DOCENTE;;Acad�mico
12866079;Colin;CREEVEY;;colin.creevey.bermudez@gmall.com;colin.creevey.bermudez@lamejor.com;;;;;;;;;;
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;DOCTOR�;ASISTENTE DOCENTE;;Acad�mico
123712616;;;;;;40;FULL TIME;;;;;;;Secretaria (o);Administrativo
;;;;;;10;HONORARIO;;;;;;;;Acad�mico
12273600;Alastor;PITURRA;;alastor.piturra@yeeha.com;alastor.moody@lamejor.com;;;;;;;;;;
;;;;;;10;;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;Acad�mico
;;;;;;;HONORARIO;;;;;;INSTRUCTORA DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;PROFESORA ASISTENTE DOCENTE;Director(a) Carrera;Acad�mico
;;;;;;;JORNADA;;;;;0;TITULAR REGULAR;Acad�mico Investigador;
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;TITULAR REGULAR;;
;;;;;;10;HONORARIO;;vespertino;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;;Acad�mico
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;ASISTENTE REGULAR;Acad�mico Investigador;Acad�mico
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;;Acad�mico
;;;;;;;JORNADA;;vespertino;;;DOCTOR;ASISTENTE REGULAR;Director de  �rea;academico
22890939;Alfonso ;CUAR�N;;;;;;;;;;;;;
;;;;;;;;diurno;;;;MAGISTER;ASISTENTE REGULAR;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;40;FUL TIME;diurno;;;;LICENCIATURA;INSTRUCTOR REGULAR;Coordinador (a) Postgrados;Acad�mico
12w238470;;;;;;40;FULL TIME;;;;;;;Secretaria (o);Administrativo
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER�;INSTRUCTORA DOCENTE;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;JORNADA;diurno;vespertino;;;MAGISTER;ASOCIADO DOCENTE;Profesor por Jornada;
;;;;;;10;HONORARIO;diurno;vespertino;;;LICENCIATURA;INSTRUCTOR DOCENTE;;Acad�mico
12712137;Katie;BELL;;katie.bell.aguirre@coldmail.com;katie.bell.aguirre@lamejor.com;;;;;;;;;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;;Coord. de Cl�nica�;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASOCIADA DOCENTE;;
14079731;Pomona;SPROUT;;pomona.sprout@coldmail.com;pomona.sprout@lamejor.com;;;;;;;;;;
;;;;;;;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
10778699;LAMAS;BELLA;;lamas.bella.delmundo@yeeha.com;lamas.bella.delmundo@lamejor.com;120;DOUBLE  TIME;diurno;vespertino;TODAS;HECHICER�A;MAGISTER;ASISTENTE DOCENTE;VICEDECANA;Acad�mico
11682760;Amycus;CARROW;;amycus.carrow@yeeha.com;amycus.carrow@lamejor.com;;;diurno;vespertino;;;;;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;JORNADA;diurno;vespertino;;;DOCTOR;ASOCIADO REGULAR;Director Depto;academico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acad�mico
19690944;Lavender;BROWN;;lavender.brown@torralbo.com;lavender.brown@lamejor;;;;;;;;;;
;;;;;;40;FULL TIME;diurno;vespertino;;;DOCTOR;;Acad�mico Investigador;Acad�mico
;;;;;;;JORNADA;diurno;vespertino;;;MAGISTER;ASOCIADO DOCENTE;Decano(a);
;;;;;;;JORNADA;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;Director Cl�nica ;academico
;;;;;;40;FULL TIME;;;;;0;PROFESOR ASOCIADO DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;HONORARIO;;;;;;INSTRUCTORA DOCENTE;;
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;;Secretario(a) Estudios;Acad�mico
123712616;;;;;;40;FULL TIME;;;;;;;Secretaria - Escuela;Administrativo
19028250;Kingsley;SHACKLEBOLT;;kingsley.shacklebolt.perez@gmall.com;kingsley.shacklebolt.perez@lamejor.com;;;;;;;;;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASOCIADO DOCENTE;Director(a) Escuela;
;;;;;;10;HONORARIO;;vespertino;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;ASOCIADO DOCENTE;;
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;PROFESOR ASISTENTE REGULAR;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;Acad�mico
24441914;Gregory;GOYLE;;gregory.goyle.brochet@yeeha.com;gregory.goyle.brochet@lamejor.com;;;;;;;;;;
;;;;;;10;HONORARIO;;vespertino;;;MAGISTER;;;Acad�mico
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;ASOCIADO REGULAR;Acad�mico Investigador;Acad�mico
20811745;Wilhelminan.;GRUBBLY-PLANK;345678913;wilhelmina.grubblyplank@gmall.com;wilhelmina.grubblyplank@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;10;HONORARIO;;;;;;PROFESORA ASISTENTE DOCENTE;;Acad�mico
;;;;;;;HONORARIO;;vespertino;;;0;ASISTENTE DOCENTE;;
;;;;;;40;FULL TIME;;vespertino;;;DOCTOR;ASISTENTE REGULAR;Coordinador de Investigacion;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;;;Acad�mico
;;;;;;40;FULL TIME;;;;;0;PROFESORA ASISTENTE REGULAR;;Acad�mico
;;;;;;40;FULL TIME;;;;;;;Secretaria - Escuela;Administrativo
6012;DESIGNAR;POR;;;;;;;;;;DOCTORA;INSTRUCTOR DOCENTE;Profesor por Jornada;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;;;Acad�mico
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;40;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
